date,sex,age,ethnicity,population
1970-01-01,both,overall,overall,10881.8
1970-01-01,both,0-4,overall,1702.4
1970-01-01,both,5-9,overall,1690.3
1970-01-01,both,10-14,overall,1454.7
1970-01-01,both,15-19,overall,1197.6
1970-01-01,both,20-24,overall,921.6
1970-01-01,both,25-29,overall,692.5
1970-01-01,both,30-34,overall,659.1
1970-01-01,both,35-39,overall,521.7
1970-01-01,both,40-44,overall,457.8
1970-01-01,both,45-49,overall,382.1
1970-01-01,both,50-54,overall,336.7
1970-01-01,both,55-59,overall,273.7
1970-01-01,both,60-64,overall,234.7
1970-01-01,both,65-69,overall,145.8
1970-01-01,both,70+,overall,211.1
1970-01-01,female,overall,overall,5364.7
1970-01-01,female,0-4,overall,833.1
1970-01-01,female,5-9,overall,826.6
1970-01-01,female,10-14,overall,714.6
1970-01-01,female,15-19,overall,599.8
1970-01-01,female,20-24,overall,461.2
1970-01-01,female,25-29,overall,344.6
1970-01-01,female,30-34,overall,325.8
1970-01-01,female,35-39,overall,262.9
1970-01-01,female,40-44,overall,226.6
1970-01-01,female,45-49,overall,191.4
1970-01-01,female,50-54,overall,165.2
1970-01-01,female,55-59,overall,129.4
1970-01-01,female,60-64,overall,111.5
1970-01-01,female,65-69,overall,65.7
1970-01-01,female,70+,overall,106.3
1970-01-01,male,overall,overall,5517.0
1970-01-01,male,0-4,overall,869.3
1970-01-01,male,5-9,overall,863.7
1970-01-01,male,10-14,overall,740.1
1970-01-01,male,15-19,overall,597.8
1970-01-01,male,20-24,overall,460.4
1970-01-01,male,25-29,overall,347.9
1970-01-01,male,30-34,overall,333.3
1970-01-01,male,35-39,overall,258.8
1970-01-01,male,40-44,overall,231.2
1970-01-01,male,45-49,overall,190.8
1970-01-01,male,50-54,overall,171.5
1970-01-01,male,55-59,overall,144.3
1970-01-01,male,60-64,overall,123.2
1970-01-01,male,65-69,overall,80.0
1970-01-01,male,70+,overall,104.8
1971-01-01,both,overall,overall,11159.7
1971-01-01,both,0-4,overall,1725.9
1971-01-01,both,5-9,overall,1689.8
1971-01-01,both,10-14,overall,1491.3
